"section","key","english","burmese","kcho_TO_FILL","notes"
"ui","brandsub","Answers what it knows","သိသည်ကို ဖြေသည်","","SAFE - interface text, never sent as a query"
"ui","tagline","It answers what it knows. It says so when it doesn't.","သိသည်ကို ဖြေသည်။ မသိလျှင် မသိကြောင်း ပြောသည်။","","SAFE - interface text, never sent as a query"
"ui","continueAnyway","Continue anyway","ဆက်လက်လုပ်ဆောင်ရန်","","SAFE - interface text, never sent as a query"
"ui","checking","Checking this computer…","ဤကွန်ပျူတာကို စစ်ဆေးနေသည်…","","SAFE - interface text, never sent as a query"
"ui","new","New question","မေးခွန်းအသစ်","","SAFE - interface text, never sent as a query"
"ui","recent","Recent","မကြာသေးမီက","","SAFE - interface text, never sent as a query"
"ui","settings","Settings","ဆက်တင်","","SAFE - interface text, never sent as a query"
"ui","untitled","New question","မေးခွန်းအသစ်","","SAFE - interface text, never sent as a query"
"ui","scope","Sources","ရင်းမြစ်","","SAFE - interface text, never sent as a query"
"ui","scopeAll","All sources","အားလုံး","","SAFE - interface text, never sent as a query"
"ui","scopeNew","Latest guidance","နောက်ဆုံးအချက်အလက်","","SAFE - interface text, never sent as a query"
"ui","scopeOld","Earlier records","အရင်မှတ်တမ်းများ","","SAFE - interface text, never sent as a query"
"ui","heroTitle","What do you need help with?","ဘာအကူအညီ လိုအပ်ပါသလဲ။","","SAFE - interface text, never sent as a query"
"ui","heroSub","Clear answers on registration, health care, detention and scams — each one backed by the official source it came from. If the answer isn't there, you'll be told plainly instead of guessed at.","မှတ်ပုံတင်ခြင်း၊ ကျန်းမာရေး၊ ဖမ်းဆီးခံရမှုနှင့် လိမ်လည်မှုများအကြောင်း ရှင်းလင်းသော အဖြေများ — အဖြေတိုင်းတွင် တရားဝင်ရင်းမြစ် ပါဝင်သည်။ အဖြေမရှိပါက မှန်းဆခြင်းမပြုဘဲ ပွင့်ပွင့်လင်းလင်း ပြောပါမည်။","","SAFE - interface text, never sent as a query"
"ui","placeholder","Ask your question…    Enter to send · Shift+Enter for a new line","သင့်မေးခွန်းကို ရိုက်ထည့်ပါ…    Enter နှိပ်၍ ပို့ပါ","","SAFE - interface text, never sent as a query"
"ui","you","You","သင်","","SAFE - interface text, never sent as a query"
"ui","bot","Assistant","အကူအညီပေးသူ","","SAFE - interface text, never sent as a query"
"ui","thinking","Finding the answer…","အဖြေရှာနေသည်…","","SAFE - interface text, never sent as a query"
"ui","st_searching","Searching…","ရှာဖွေနေသည်…","","SAFE - interface text, never sent as a query"
"ui","st_writing","Writing the answer…","အဖြေရေးနေသည်…","","SAFE - interface text, never sent as a query"
"ui","st_starting","Starting the local AI engine…","AI ကို စတင်နေသည်…","","SAFE - interface text, never sent as a query"
"ui","sources","Sources","ကိုးကားချက်","","SAFE - interface text, never sent as a query"
"ui","copy","Copy","ကူးယူ","","SAFE - interface text, never sent as a query"
"ui","copied","Copied to clipboard","ကူးယူပြီးပါပြီ","","SAFE - interface text, never sent as a query"
"ui","crosscheck","Check the UNHCR page (may not yet show this)","UNHCR စာမျက်နှာကို စစ်ဆေးပါ (ဤအချက်အလက် မပါသေးနိုင်ပါ)","","SAFE - interface text, never sent as a query"
"ui","brandName","Päkpätät","Päkpätät","","SAFE - interface text, never sent as a query"
"ui","shareFooter","Independent community tool. Not affiliated with UNHCR. Check anything urgent by phone before acting on it.","လွတ်လပ်သော အသိုက်အဝန်း ကိရိယာ။ UNHCR နှင့် ဆက်စပ်မှု မရှိပါ။ အရေးကြီးသည်များကို ဖုန်းဖြင့် အတည်ပြုပါ။","","SAFE - interface text, never sent as a query"
"ui","savePost","Save as image","ပုံအဖြစ် သိမ်းရန်","","SAFE - interface text, never sent as a query"
"ui","saving","Saving…","သိမ်းနေသည်…","","SAFE - interface text, never sent as a query"
"ui","savedTo","Image saved","ပုံ သိမ်းပြီးပါပြီ","","SAFE - interface text, never sent as a query"
"ui","savedThread","Thread saved — post the cards in order","ပုံစဉ်များ သိမ်းပြီးပါပြီ — အစဉ်လိုက် တင်ပါ","","SAFE - interface text, never sent as a query"
"ui","showFile","Show","ပြပါ","","SAFE - interface text, never sent as a query"
"ui","tooLong","This answer is too long even for a thread. Copy it as text instead.","ဤအဖြေသည် ပုံတစ်ခုအတွင်း ထည့်ရန် ရှည်လွန်းပါသည်။ စာသားအဖြစ် ကူးယူပါ။","","SAFE - interface text, never sent as a query"
"ui","unsafeTitle","Check these before you use them","မသုံးမီ ဤအချက်များကို စစ်ဆေးပါ","","SAFE - interface text, never sent as a query"
"ui","unsafeBody","These do not appear anywhere in the archive text this answer was built from, so the AI may have changed or invented them. Open the sources below and read the value there first.","ဤအချက်များသည် အဖြေထုတ်ရာတွင် အသုံးပြုသော မှတ်တမ်းစာသားများတွင် မတွေ့ရပါ။ AI က ပြောင်းလဲထားခြင်း သို့မဟုတ် လုပ်ကြံထားခြင်း ဖြစ်နိုင်သည်။ အောက်ပါ ရင်းမြစ်များကို ဖွင့်၍ အရင်စစ်ဆေးပါ။","","SAFE - interface text, never sent as a query"
"ui","kindPhone","Phone number","ဖုန်းနံပါတ်","","SAFE - interface text, never sent as a query"
"ui","kindEmail","Email address","အီးမေးလ်","","SAFE - interface text, never sent as a query"
"ui","kindAmount","Amount","ငွေပမာဏ","","SAFE - interface text, never sent as a query"
"ui","kindDate","Date","ရက်စွဲ","","SAFE - interface text, never sent as a query"
"ui","again","Ask again","ထပ်မေးရန်","","SAFE - interface text, never sent as a query"
"ui","noHistory","Your questions will appear here.","သင့်မေးခွန်းများ ဤနေရာတွင် ပေါ်လာပါမည်။","","SAFE - interface text, never sent as a query"
"ui","disclaimer","Answers come from guidance published by UNHCR and its partners. Independent tool, not affiliated with UNHCR. For emergencies, always confirm by phone.","အဖြေများသည် UNHCR နှင့် မိတ်ဖက်အဖွဲ့များ ထုတ်ပြန်ထားသော လမ်းညွှန်ချက်များမှ ဖြစ်သည်။ ဤသည်မှာ လွတ်လပ်သော ကိရိယာဖြစ်ပြီး UNHCR နှင့် ဆက်စပ်မှု မရှိပါ။ အရေးပေါ်ကိစ္စများကို ဖုန်းဖြင့် အတည်ပြုပါ။","","SAFE - interface text, never sent as a query"
"ui","offline","Could not reach the assistant service on this computer. Try restarting the app.","ဤကွန်ပျူတာရှိ ဝန်ဆောင်မှုကို မရရှိပါ။ အက်ပ်ကို ပြန်ဖွင့်ကြည့်ပါ။","","SAFE - interface text, never sent as a query"
"ui","badgeNew","current","လက်ရှိ","","SAFE - interface text, never sent as a query"
"ui","badgeOld","earlier","အရင်","","SAFE - interface text, never sent as a query"
"ui","setLede","Choose which AI writes the answers. Everything is stored on this computer only.","မည်သည့် AI က အဖြေရေးမည်ကို ရွေးပါ။ အားလုံးကို ဤကွန်ပျူတာတွင်သာ သိမ်းသည်။","","SAFE - interface text, never sent as a query"
"ui","engine","Answer engine","အဖြေပေးသည့် AI","","SAFE - interface text, never sent as a query"
"ui","modelName","Model","မော်ဒယ်","","SAFE - interface text, never sent as a query"
"ui","apiKey","API key","API key","","SAFE - interface text, never sent as a query"
"ui","keyPh","Paste your key here","သင့် key ကို ကူးထည့်ပါ","","SAFE - interface text, never sent as a query"
"ui","keyNote","Saved only on this computer, in the app's own settings file. Never uploaded, never placed in the shared folder.","ဤကွန်ပျူတာရှိ အက်ပ်၏ ဆက်တင်ဖိုင်တွင်သာ သိမ်းသည်။ အွန်လိုင်းသို့ ဘယ်တော့မှ မတင်ပါ။","","SAFE - interface text, never sent as a query"
"ui","save","Save","သိမ်းမည်","","SAFE - interface text, never sent as a query"
"ui","cancel","Cancel","မလုပ်တော့ပါ","","SAFE - interface text, never sent as a query"
"ui","saved","Saved","သိမ်းပြီးပါပြီ","","SAFE - interface text, never sent as a query"
"ui","fixit","Fix this","ပြင်ရန်","","SAFE - interface text, never sent as a query"
